Species
Acacia cyclops
Acacia dealbata
Acacia longifola
Acacia longifolia
Acacia saligna
Acer rubrum
Acer saccharinum
Acer saccharum
Achillea millefolium
Acrachne racemosa
Aegilops triuncialis
Ageratina adenophora
Agropyron cristatum
Agrostis halli
Agrostis
Agrostis stolonifera
Ailanthus altissima
Alectryon excelsus
Alianthis altissima
Alianthus altissima
Allaria petiolata
Alloteropsis semialata
Ambrosia artemisiifolia
Andropogon bladhii
Andropogon gayanus
Andropogon gerardii
Anthemis arvensis
Arrhenatherum elatius
Artemisia californica
Artemisia tridentata
Arundo donax
Atriplex confertifolia
Avena barbata
Avena fatua
Banksia
Berberis thunbergii
Bouteloua gracialis
Brachypodium distachyon
Bromus inermis
Bromus madritensis
Bromus
Bromus tectorum
Calamagrostis epigejos
Carex acutiformis
Carex elata
Carex lurida
Carex stricta
Carpobrotus
Carya laciniosa
Centairea solsititialis
Centaurea diffusa
Centaurea maculosa
Centaurea stoebe
Chrysanthemoides monilifera
Corema album
Cortaderia selloana
Cupania porphyria
Cynara cardunculus
Cynodon dactylon
Cyperus malaccensis
Cytisus scoparius
Dactylis glomerata
Diospyros sandwicensis
Distichlis spicata
Ehrharta calycina
Elaeagnus umbellata
Eleocharis smallii
Encelia farinosa
Epilobium hirsutum
Eragrostis lehmanniana
Euclea racemosa
Eupatorium cannabinum
Eupatorium perfoliatum
Fagus sylvatica
Falcataria moluccana
Fallopia japonica
Festuca arundinacea
Festuca campestris
Festuca idahoensis
Festuca ovina
Festuca rubra
Ficinia
Fraxinus angustifolia
Fraxinus anustifola
Galium palustre
Glechoma hederacea
Haloxylon persicum
Hedychium gardnerianum
Heracleum mantegazzianum
Heracleum sphondylium
Hesperostipa comata
Heteropogon contortus
Impatiens glandulifera
Kalanchoe daigremontiana
Kandelia obovata
Krascheninnikovia lanata
Lantana camara
Ligustrum lucidum
Liriodendron tulipifera
Lonicera maackii
Lupinus luteus
Lythrum salicaria
Macropiper excelsum
Maianthmum canadense
Melaleuca quinquenervia
Melilotus
Melinis minutiflora
Metrosideros polymorpha
Microstegium vimineum
Mikania micrantha
Mimulus guttatus
Molinia caerulea
Myrica cerifera
Myrica faya
Nassella pulchra
Nassella viridula
Opuntia caracassana
Oryzopsis hymenoides
Oxalis pes-caprae
Panicum virgatum
Parthenium hysterophorus
Pascopyrum smithii
Paspalum quadrifarium
Paspulum conjugatum
Pelargonium capitatum
Pennisetum ciliare
Pennisetum clandestinum
Pennisetum polystachion
Pennisetum setaceum
Petasites hybridus
Phalaris arundinacea
Phragmites australis
Pilosella officinarum
Pinus pinaster
Planchonella samoensis
Pleuraphis jamesii
Pluchea sericea
Poa cita
Poa pratensis
Poplus alba
Populus deltoides
Populus
Propsopis juliflora
Prosopis cineraria
Prosopis juliflora
Prunus serotina
Quercus alba
Quercus ilex
Quercus robur
Quercus rubra
Quercus
Raphanus sativus
Retama raetam
Rhamnus cathartica
Rhamnus davurica
Robinia pseudoacacia
Rubus
Sagittaria latifolia
Salix caprea
Schinus terebinthifolius
Schizachyrium condensatum
Schizachyrium scoparium
Scirpus mariqueter
Selaginella densa
Setaria plicata
Solidago canadensis
Solidago gigantea
Sorghum halepense
Spartina alterniflor
Spartina alterniflora
Spartina anglica
Spartina patens
Stapelia gigantea
Stipa
Stylophorum diphyllum
Styphelia tameiameiae
Tamarix chinensis
Tamarix ramosissima
Tamarix
Taxodium distichum
Teline monspessulana
Themeda trianda
Toxicodendron vernicifluu
Tradescantia fluminensis
Trientalis borealis
Trifolium repens
Typha latifolia
Typha x glauca
Ulmus minor
Urtica dioica
Vaccinium
